位	위
『スウィートメイド-レベル5』	『스위트 메이드 - 레벨 5』
『パーティメイド-レベル5』	『파티 메이드 - 레벨 5』
『ソープメイド-レベル5』	『소프 메이드 - 레벨5』
『フェスティバルメイド-レベル5』	『페스티벌 메이드 - 레벨 5』
『アブノーマルメイド-レベル5』	『앱노멀 메이드 - 레벨5』
『スレイブメイド-レベル5』	『슬레이브 메이드 - 레벨5』
『セックススレイブメイド-レベル5』	『섹스 슬레이브 메이드 - 레벨 5』
『サービスメイド-レベル5』	『서비스 메이드 - 레벨5』
『ロイヤルソープメイド-レベル5』	『로열 소프 메이드 - 레벨5』
『インモラルメイド-レベル5』	『임모럴 메이드 - 레벨5』
『プレイメイド-レベル5』	『플레이 메이드 - 레벨5』
『ハーレムメイド-レベル5』	『하렘 메이드 - 레벨5』
『お気に入りのメイド嬢』	『마음에든 메이드 아가씨』
『主人の寵愛』	『주인의 총애』
『もてなし上手』	『접대가 능숙』
『クラブの看板メイド』	『클럽의 간판 메이드』
『プレイ日数が50日を超えた』	『플레이일수가 50일을 넘었다』
『プレイ日数が100日を超えた』	『플레이일수가 100일을 넘었다』
『プレイ日数が500日を超えた』	『플레이일수가 500일을 넘었다』
『快楽至上主義』	『쾌락지상주의』
『痛みと快楽と』	『고통도 쾌락도』
『見せて見られて』	『보이고 보여져서』
『極上の奉仕』	『극상의 봉사』
『鬼畜主義』	『귀축주의』
『VIPの秘密接待』	『VIP의 비밀접대』
『スキルマスター』	『스킬 마스터』
『貴方の恋人』	『당신의 연인』
『愛と主従の関係』	『사랑과 주종의 관계』
『商売繁盛』	『상매번성』
『タフネス＆絶倫』	『터프니스&절륜』
『酒池肉林？』	『주지육림?』
『性感帯開発　『口』』	『성감대 개발『입』』
『性感帯開発　『喉』』	『성감대 개발『목구멍』』
『性感帯開発　『乳首』』	『성감대 개발『유두』』
『性感帯開発　『クリトリス』』	『성감대 개발『클리토리스』』
『ビッチな処女』	『처녀암캐』
『ブロンズメイド』	『브론즈 메이드』
『シルバーメイド』	『실버 메이드』
『ゴールドメイド』	『골드 메이드』
『プラチナメイド』	『플래티넘 메이드』
『初めてのレンタル』	『처음으로 렌탈』
『寝取らせ中毒症』	『네토라세 중독증』
『据え膳くわぬはご主人様の恥』	『차려논 밥상도 못먹는건 주인의 수치』
を取得しました。	을(를) 취득했습니다.
『キュートウェイトレスセット』	『큐트 웨이트리스 세트』
『旧メイド服セット』	『구 메이드복 세트』
『プリンセス・バインド』	『프린세스ㆍ바인드』
『ナースセット』	『간호사 세트』
『バスタオル』	『목욕타월』
『バニーガールセット』	『바니걸 세트』
『網柄ボディストッキング』	『망사 바디 스타킹』
『ハートビキニ』	『하트 비키니』
『KISSロゴアクセサリー』	『KISS 로고 악세서리』
『鉄板看板・肉便器』	『철판간판ㆍ육변기』
『鉄板看板・公衆便所』	『철판간판ㆍ공중변소』
『鉄板看板・露出狂』	『철판간판ㆍ노출광』
『鉄板看板・チンポ中毒』	『철판간판ㆍ자지중독』
『鉄板看板・メス豚開発中』	『철판간판ㆍ암퇘지개발중』
『指輪』	『반지』
『エロティックボンデージセット』	『에로틱 본디지 세트』
がショップに追加されました。	이(가) 상점에 추가되었습니다.
通常	통상
お仕置き	처벌
酔い	취기
淫欲	음욕
変態	변태
奉仕	봉사
M性	Ｍ성향
交換	스와핑
乱交	난교
詰られ	역매도
ハーレム	하렘
消費体力	소비 체력
夜伽クラス取得EXP	밤 시중 클래스 취득 EXP
全て解除	모두 해제
体力が0以下のため気絶します。本当に実行しますか？	체력 0 이하에서 기절합니다.\n정말 실행합니까？
気絶しました。夜伽を終了します。	기절했습니다.\n밤 시중을 종료합니다.
愛撫	애무
バイブ責め	바이브 고문
アナルバイブ責め	애널 바이브 고문
セックス正常位	정상위 섹스
アナルセックス正常位	정상위 애널 섹스
セックス後背位	후배위 섹스
アナルセックス後背位	후배위 애널 섹스
セックス騎乗位	기승위 섹스
アナルセックス騎乗位	기승위 애널 섹스
淫乱淫語正常位	음란음어 정상위
淫乱淫語尻穴拡げアナル後背位	음란음어 항문확장 애널 후배위
処女喪失セックス	처녀 상실 섹스
アナル処女喪失セックス	처녀 상실 애널 섹스
太バイブ責め	거대 바이브 고문
グラインドセックス騎乗位	그라인드 기승위 섹스
グラインドアナルセックス騎乗位	그라인드 기승위 애널 섹스
バイブ責めアナルセックス正常位	바이브 고문 정상위 애널 섹스
バイブ責めアナルセックス後背位	바이브 고문 후배위 애널 섹스
アナルバイブ責めセックス後背位	애널 바이브 고문 후배위 섹스
言葉責め愛撫	꾸짖기 애무
だいしゅきホールドセックス正常位	다이슈키 홀드 정상위 섹스
だいしゅきホールドアナルセックス正常位	다이슈키 홀드 정상위 애널 섹스
抱きつきセックス後背位	껴안고 후배위 섹스
抱きつきアナルセックス後背位	껴안고 후배위 애널 섹스
セックス側位	측위 섹스
アナルセックス側位	측위 애널 섹스
セックス対面座位	대면좌위 섹스
アナルセックス対面座位	대면좌위 애널 섹스
セックス背面駅弁	배면 에키벤 섹스
アナルセックス背面駅弁	배면 에키벤 애널 섹스
まんぐり返しセックス	굴곡위 섹스
まんぐり返しアナルセックス	굴곡위 애널 섹스
セックス背面騎乗位	배면 기승위 섹스
アナルセックス背面騎乗位	배면 기승위 애널 섹스
セックス立位	입위 섹스
アナルセックス立位	입위 애널 섹스
寄り添いセックス側位	달라붙어 측위 섹스
寄り添いアナルセックス側位	달라붙어 측위 애널 섹스
尻上げ後背位	엉덩이 들기 후배위 섹스
尻上げアナル後背位	엉덩이 들기 후배위 애널 섹스
抱えセックス正常位	안아올려 정상위 섹스
抱えアナルセックス正常位	안아올려 정상위 애널 섹스
酔い愛撫	취기 애무
酔いバイブ責め	취기 바이브 고문
酔いアナルバイブ責め	취기 애널 바이브 고문
酔いセックス正常位	취기 정상위 섹스
酔いアナルセックス正常位	취기 정상위 애널 섹스
酔いセックス後背位	취기 후배위 섹스
酔いアナルセックス後背位	취기 후배위 애널 섹스
酔いセックス騎乗位	취기 기승위 섹스
酔いアナルセックス騎乗位	취기 기승위 애널 섹스
かっこいいポーズ	근사한 포즈
かわいいポーズ	귀여운 포즈
Ｈなポーズ	H한 포즈
変態ポーズプレイ	변태 포즈 플레이
オナニー	자위
アナルオナニー	애널 자위
バイブオナニー	바이브 자위
アナルバイブオナニー	애널 바이브 자위
手コキオナニー	손 시중 자위
フェラオナニー	페라 자위
淫乱淫語犬プレイセックス	음란음어 개 플레이 섹스
犬プレイ	개 플레이
太バイブオナニー	거대 바이브 자위
露出プレイ	노출 플레이
露出セックス背面立位	노출 배면입위 섹스 
露出アナルセックス背面立位	노출 배면입위 애널 섹스
実況オナニー	실황 자위
足舐め	발 핥기
足舐めオナニー	발 핥기 자위
ポーズ維持プレイ１	포즈 유지 플레이 1
ポーズ維持プレイ２	포즈 유지 플레이 2
公開オナニー	공개 자위
公開アナルオナニー	공개 애널 자위
トイレセックス	화장실 섹스
トイレアナルセックス	화장실 애널 섹스
トイレオナニー	화장실 자위
トイレアナルオナニー	화장실 애널 자위
痴漢愛撫	치한 애무
痴漢アナル愛撫	치한 애널 애무
痴漢セックス	치한 섹스
痴漢アナルセックス	치한 애널 섹스
酔いオナニー	취기 자위
手コキ	손 시중
フェラチオ	펠라치오
パイズリ	파이즈리
シックスナイン	69
パイズリフェラ	파이즈리 페라
玉舐めフェラチオ	구슬 펠라치오
セルフイラマ	셀프 이라마
ディープスロート	딥스로트
全身舐め奉仕	전신햝기 봉사
スケベ椅子フェラ	호색가의자 페라
スケベ椅子セックス	호색가의자 섹스
スケベ椅子アナルセックス	호색가의자 애널 섹스
MP全身洗い	매트 플레이 전신 씻겨주기
高級MP全身洗い	고급 매트 플레이 전신 씻겨주기
洗い	씻겨주기
尻舐め	엉덩이 핥기
尻舐めオナニー	엉덩이 핥기 자위
潜望鏡フェラ	잠만경 페라
酔いフェラチオ	취기 펠라치오
酔いシックスナイン	취기 69
酔いディープスロート	취기 딥스로트
拘束愛撫	구속 애무
拘束セックス	구속 섹스
拘束アナルセックス	구속 애널 섹스
イラマチオ	이라마치오
お仕置きセックス後背位	처벌 후배위 섹스
お仕置きアナルセックス後背位	처벌 후배위 애널 섹스
首絞めセックス正常位	목조르기 정상위 섹스
首絞めアナルセックス正常位	목조르기 정상위 애널 섹스
吊るし拘束	매달기 구속
三角木馬拘束	삼각목마 구속
ギロチン拘束セックス	길로틴 구속 섹스
ギロチン拘束アナルセックス	길로틴 구속 애널 섹스
ハード吊るし拘束	하드 매달기 구속
ハード三角木馬拘束	하드 삼각목마 구속
拘束イラマチオ	구속 이라마치오
拘束台愛撫	구속대 애무
磔プレイ	형틀 플레이
ハード首絞めセックス	하드 목조르기 섹스
ハード首絞めアナルセックス	하드 목조르기 애널 섹스
酔いイラマチオ	취기 이라마치오
お仕置き拘束愛撫	처벌 구속 애무
お仕置き吊るしセックス	처벌 매달기 섹스
お仕置き拘束セックス	처벌 구속 섹스
お仕置き吊るしアナルセックス	처벌 매달기 애널 섹스
お仕置き拘束アナルセックス	처벌 구속 애널 섹스
お仕置きギロチン拘束セックス	처벌 길로틴 구속 섹스
お仕置きギロチン拘束アナルセックス	처벌 길로틴 구속 애널 섹스
お仕置き吊るし拘束	처벌 매달기 구속
お仕置き三角木馬拘束	처벌 삼각목마 구속
お仕置きハード吊るし拘束	처벌 하드 매달기 구속
お仕置きハード三角木馬拘束	처벌 하드 삼각목마 구속
スワッピング愛撫	스와핑 애무
スワッピングフェラチオ	스와핑 펠라치오
スワッピングセックス正常位	스와핑 정상위 섹스
スワッピングアナルセックス正常位	스와핑 정상위 애널 섹스
スワッピングセックス後背位	스와핑 후배위 섹스
スワッピングアナルセックス後背位	스와핑 후배위 애널 섹스
スワッピングセックス騎乗位	스와핑 기승위 섹스
スワッピングアナルセックス騎乗位	스와핑 기승위 애널 섹스
スワッピング吊るしセックス	스와핑 매달기 섹스
スワッピング拘束セックス	스와핑 구속 섹스
スワッピング吊るしアナルセックス	스와핑 매달기 애널 섹스
スワッピング拘束アナルセックス	스와핑 구속 애널 섹스
乱交愛撫	난교 애무
乱交奉仕	난교 봉사
乱交3Pセックス正常位	난교 3P 정상위 섹스
乱交3Pアナルセックス正常位	난교 3P 정상위 애널 섹스
乱交3P2穴セックス	난교 3P 2구멍 섹스
乱交3P口＆セックス後背位	난교 3P 입&후배위 섹스
乱交3P口＆アナルセックス後背位	난교 3P 입&후배위 애널 섹스
乱交3P2穴セックス正常位	난교 3P 2구멍 정상위 섹스
乱交4Pセックス	난교 4P 섹스
乱交3P2穴駅弁	난교 3P 2구멍 에키벤
乱交3P口＆セックス騎乗位	난교 3P 입&기승위 섹스
乱交3P口＆アナルセックス騎乗位	난교 3P 입&기승위 애널 섹스
乱交3Pセックス側位	난교 3P 측위 섹스
乱交3Pアナルセックス側位	난교 3P 측위 애널 섹스
乱交4Pセックス正常位	난교 4P 정상위 섹스
乱交4Pアナルセックス正常位	난교 4P 정상위 애널 섹스
パンツコキ	팬티 시중
詰られ手コキ	매도 손 시중
詰られパイズリ	매도 파이즈리
詰られ騎乗位	매도 기승위 섹스
詰られアナル騎乗位	매도 기승위 애널 섹스
オナホコキ	오나홀 시중
足コキ	발 시중
ちんぐりセックス	남성 굴곡위 섹스
ちんぐりアナルセックス	남성 굴곡위 애널 섹스
ちんぐりフェラ	남성 굴곡위 페라
ちんぐり手コキ	남성 굴곡위 손시중
顔面騎乗位	안면 기승위
椅子拘束騎乗位	의자구속 기승위
椅子拘束アナル騎乗位	의자구속 애널 기승위
ダブルフェラ	더블 페라
ダブル足コキ	더블 발 시중
ダブル奉仕	더블 봉사
ハーレム奉仕	하렘 봉사
ハーレムセックス	하렘 섹스
ハーレムアナルセックス	하렘 애널 섹스
ワイン？　ブランデー？　ウィスキー？　お酒は何でも構わないわ。	와인? 브랜디? 위스키? 술은 뭐든지 상관없어요.
好きな食べ物？　鶏肉よ、ヘルシーだし。	좋아하는 음식? 닭고기야, 건강한이고.
ふふ、そうよね。たまに旅番組とか見ると、行ってみたいなぁって思うわ。	후후, 그래요. 이따금 여행 프로그램이라든지 보면, 가 보고 싶다라고 생각해요.
こういう席では、冗談の一つでも言うのが正解かと思ったのだけれども、失敗したかしら。	이런 석에서는, 농담의 1개로도 말하는 것이 정답일까하고 생각한 것 만, 실패했을까.
私も、たまには出かけたりするわよ。本を買ったり、映画を見たりね。	나도, 가끔 씩은 나가거나 해요. 책을 사거나 영화를 보거나.
その……私の考え方は、合理的過ぎるかしら？　あまり可愛くないのはわかっているのだけど……	그…… 나의 사고방식은, 너무 합리적일까? 그다지 사랑스럽지 않은 것은 알고 있는 것이지만……
恋愛は……まだちょっと分からないです。	연애는…… 아직 조금 모릅니다.
それは……ふふ、とても良い事ですね。	그것은…… 후후, 매우 좋은 일이군요.
えへへ……とても美味しいですね。飲みやすいです。	에헤헤…… 굉장히 맛있네요. 마시기 쉬습니다.
ふふっ、お上手なんですから……でも私は、その程度では乗せられたりしませんから。	후후, 능숙하시니까……에서도 나는, 그 정도에서는 실을 수 있거나 하지 않기 때문에.
私は、ワインより泡盛や冷酒を嗜んでおります……えっ、つまみですか……そうですね、梅干しやお塩でしょうか？	나는, 와인보다 쌀소주나 찬 술을 즐기고 있는……어, 안주입니까……그렇네요, 우메보시나 소금입니까?
あらっ……そんなに飲んでは酔いつぶれてしまいますよ。	어머나 ……그렇게 마셔 만취해 버려요.
ふふふ……お姉ちゃんを酔わせて、一体どうするつもりなのかな～？	후후후……언니를 취하게 해, 도대체 어떻게 할 생각인가∼？
こうしてワインを飲んでいると、それに合うチーズが食べたくなっちゃうね～	이렇게 해 와인을 마시고 있으면(자), 거기에 맞는 치즈를 먹고 싶어져버린다∼
わわっ……顔が赤くなって、ちょっとドキドキしてきちゃった。酔ってるからかな、ご主人様と一緒にいるからかな？	원원……얼굴이 붉어져, 조금 두근두근 해 와 버렸다. 취하고 있으니일까, 주인님과 함께 있기 때문일까?
尻穴拡げ後背位	항문확장 후배위
尻舐め手コキオナニー	항문 핥기 손시중 자위
