新しいメイドを雇用しますか?資金 -3,000,000CR	새로운 메이드를 고용합니까?\n자금 -3,000,000 CR
泡やマットを使ったプレイが似合うメイドにぴったりな夜伽クラス。あわあわのぬるぬるに魅了されてしまいそう。	거품이나 매트를 사용한 플레이가 어울리는 메이드에게 좋은 밤시중 클래스. 만나자 거품의 흰자위에 매료되어 버리겠네….
ご主人様と恋人以上な関係のメイドにぴったりな夜伽クラス。止まらないラブなハートが甘くホットに燃えあがる。	주인님과 연인이상의 관계인 메이드에게 좋은 밤시중 클래스. 멈추지 않는 행복한 하트가 달콤한 열기에 타오른다.
たくさんの男達とのプレイにも抵抗がないメイドにぴったりな夜伽クラス。くんずほぐれつ酒池肉林！今夜は皆で朝までパーリナイッ！	많은 남자들과의 플레이에도 저항이 없는 메이드에게 좋은 밤시중 클래스. 금주해방 주지육림! 오늘밤은 모두가 아침까지 파-리나잇!
まるで性奴隷のような扱いを望むメイドにぴったりな夜伽クラス。メイドを苛める道具、多数取り揃えております。	마치 성노예같은 취급을 원하는 메이드에게 좋은 밤시중 클래스. 메이드를 괴롭히는 도구, 다수 갖추고 있습니다.
お祭りの雰囲気にあてられて、開放的になったメイドにぴったりな夜伽クラス。メイドをしっかりと受け止めて上げましょう。	축제 분위기에 맞춰지고, 개방적으로 된 메이드에게 좋은 밤시중 클래스. 메이드를 제대로 받아 드릴까요.
複数人でご主人様のお相手をするエッチなメイドにぴったりな夜伽クラス。平等に愛してあげましょう。	여러 사람이 주인의 상대를 하는 야한 메이드에 좋은 밤시중 클래스. 평등하게 사랑할께요.
泡やマットを使ったプレイが上手なメイドにぴったりな夜伽クラス。魅惑の泡に溺れてしまいそう。	거품이나 매트를 사용한 플레이를 잘하는 메이드에게 좋은 밤시중 클래스. 매혹의 거품에 빠져서 버리겠네....
トイレで変態的なエッチをしてしまうメイドにぴったりな夜伽クラス。誰かに見られないように注意です。	화장실에서 변태적인 H를 해버린 메이드에게 어울리는 밤시중 클래스.\n누군가에게 발견되지 않도록 주의합시다.
電車で変態的なエッチをしてしまうメイドにぴったりな夜伽クラス。背徳的な快楽を楽しみましょう。	전차에서 변태적인 H를 해버린 메이드에게 어울리는 밤시중 클래스.\n배덕적인 쾌락을 즐겨봅시다.
まるで花嫁にするかようなエッチが大好きなメイドにぴったりな夜伽クラス。色々な体位で二人の愛を育みましょう。	마치 신부에게 하는 듯한 H를 좋아하는 메이드에게 좋은 밤시중 클래스. 여러가지 체위로 두 사람의 사랑을 키웁시다.
淫魔のように精を搾り取りたいメイドにぴったりな夜伽クラス。ご主人様以外の男性にも可愛がってもらいましょう！	음마가 된듯 정을 쥐어짜고 싶은 메이드에게 좋은 밤시중 클래스. 주인 이외의 남자에게도 귀여움 받고요!
ご主人様を豚として扱いたいメイドにぴったりな夜伽クラス。主従逆転の快楽をメイド様から教えて頂きましょう！	주인님을 돼지처럼 다루고 싶은 메이드에게 좋은 밤시중 클래스.\n주종역전의 쾌락을 메이드님에게 가르침 받아봅시다!
雇用日数	고용일수
残り日数	남은일수
性              格	성　격
純真で健気な妹系	순진하고 기운찬 여동생계
クールで大人びている	쿨하고 어른스러운
プライドが高く負けず嫌い	자존심이 세고 지기 싫어함
病的な程一途な大和撫子	병적으로 외골수인 요조숙녀
母性的なお姉ちゃん	모성적인 누나
自信満々なへたれ	자신만만한 겁쟁이
人懐っこい	붙임성 있는
お世話焼き	보살펴주기 좋아하는
清楚クール	청초하고 쿨한
性経験	성경험
処女	처녀
経験あり	경험 있음
後ろ経験あり	뒤로 경험 있음
両方経験あり	양쪽 경험 있음
身          長	신　장
体          重	체　중
バスト	가　슴
ウエスト	허　리
ヒップ	엉덩이
体           力	체　력
理           性	이　성
精           神	정　신
好感度	호감도
お世話	시　중
接           待	접　대
習得率	습득률
指           導	지　도
可           憐	청　순
気           品	기　품
魅           惑	매　혹
淫           欲	음　욕
M           性	Ｍ성향
変           態	변　태
奉           仕	봉　사
状           態	상　태
緊張	긴장
お近づき	친근
信頼	신뢰
恋人	연인
愛奴	애노
心頼み	의지함
すき！	좋아해!
良き強敵	호적수
夜伽回数	밤시중 횟수
接客回数	접객 횟수
口	입
喉	목구멍
乳首	유두
クリトリス	클리토리스
取得客評価	취득 평가
取得資金	취득 자금
累計取得客評価	총 고객 평가
累計取得資金	총 취득 자금
