キャラクター	캐릭터
三度同じお客様に抱かれ、最後には行為に及んでしまった専属メイド。VIPとの夜伽の事について、専属メイドに聞くことができます。	세번이나 같은 손님에게 안겨, 마지막에는 행위에 이르러 버린 전속 메이드.\nVIP와의 밤시중의 일에 관해서, 전속 메이드에게 물어볼 수 있습니다.
AV撮影	AV 촬영
他のVIPのお客様に「品定め」をしてもらう為、メイドは動画を撮影する事に。メイドはご主人様ではない男性二人と撮影を行います。	다른 VIP의 고객에게 「품평」을 받기 때문에 메이드는 동영상을 촬영하게. 메이드는 주인님이 아니라 남자 둘과 촬영을 실시합니다.
恋人プレイ	연인 플레이
VIPから「君の専属メイドと是非とも夜伽をしたい」とのご依頼です。VIPはその専属メイドに特別な思い入れがあるようですが……？	VIP로부터 「당신의 전속 메이드에게 아무쪼록 밤시중을 받고싶다」는 의뢰입니다.\nVIP는 그 전속 메이드에게 특별한 깊은 생각이 있는 것 같습니다만……?
恋人プレイ（報告）	연인 플레이（보고）
VIPとの恋人プレイを終えた専属メイド。VIPとの夜伽の事について、専属メイドに聞くことができます。	VIP와의 연인 플레이를 끝낸 전속 메이드.\nVIP와의 밤시중의 일에 관해서, 전속 메이드에게 물어볼 수 있습니다.
アナルプレイ	애널 플레이
【ご主人様】恋人関係のメイドは、二人きりになる時間が少ない、と欲求不満のご様子。ご主人様を待ちきれないメイドは……	【주인님】연인관계의 메이드는, 단 둘이 보내는 시간이 부족해, 라고 욕구불만인 모양입니다. 주인님을 기다릴 수 없었던 메이드는……
純愛ソーププレイ	순애 소프 플레이
【ご主人様】ご主人様の事が大好きなメイドは、ご主人様の日頃の疲れを癒す為に、濃厚なお風呂でのご奉仕を望むのでした。	【주인님】주인님을 정말 좋아하는 메이드는, 주인님의 평소의 피로를 달래기 위해서, 욕실에서의 농후한 봉사를 바라는 것이었습니다.
お客様公開プレイ	손님앞 공개 플레이
【ご主人様】乱交パーティの参加のお誘い。ご主人様は恋人であるメイドに、絶対に指一本お客様に触れさせないと条件をつけて、参加することに決めるのでした。	【주인님】난교파티의 참가권유.\n주인님은 연인인 메이드에게, 절대로 손가락 하나 손님이 대지 못하게 한다는 조건을 붙여, 참가하기로 결정하는 것이었습니다.
乱暴なお客様前半	난폭한 고객 전반
VIPから「自分の屋敷に専属メイドを派遣してくれ」とのご依頼です。しかも時間帯は夜。怪しいご依頼ですので、慎重なご判断を。	VIP에서 「자신의 저택에 전속 가정부를 파견하는」라고 부탁입니다. 게다가 시간대는 밤. 수상한 의뢰이니 신중한 많은 판단을.
乱暴なお客様後半１	난폭한 고객 후반 1
前回のVIPのご依頼の後、メイドにそのご依頼の事を確かめてみると……	지난번 VIP의 의뢰 후 파출부가 그 의뢰의 일을 살펴보면……
乱暴なお客様後半２	난폭한 고객 후반 2
前回のVIPのご依頼の後、メイドはご主人様に「あの事」を言う事が出来ず、お客様の手によって……	지난번 VIP의 의뢰 후, 메이드는 주인에게 「그 일」을 말할 수 없이, 고객의 손에 의해서....
純愛プレイ前半	순애 플레이 전반
【ご主人様】恋人であるメイドは、なにやら隠し事をしているようです、それを聞き出してみると……	【주인님】애인인 메이드는 뭔지 비밀을 하는 것 같아요, 그것을 알아내면...
純愛プレイ後半	순애 플레이 후반
【ご主人様】とある勘違いで、メイドはご主人様に詰め寄ります。いつもと違う雰囲気に二人は淫らに乱れます。	【주인님】어떤 착각이고, 메이드는 주인에게 다가섭니다. 평소와 다른 분위기에 두 사람은 음란하게 문란해집니다.
ソーププレイ	소프 플레이
VIPはメイドとのソーププレイを望んでいます。お風呂での奉仕が得意なメイドがVIPの要望に答えられるでしょう。	VIP는 메이드와의 소프 플레이를 원하고 있습니다.\n욕실에서의 봉사가 자신있는 메이드가 VIP의 요망에 대응할 수 있겠지요.
ハメ撮りプレイ	하메도리 플레이
VIPはメイドを撮影しながらの夜伽を望んでいます。ポーズプレイに経験のあるメイドがVIPの要望に答えられるでしょう。	VIP는 메이드를 촬영하면서의 밤시중을 원하고 있습니다.\n포즈 플레이에 경험이 있는 메이드가 VIP의 요망에 대응할 수 있겠지요.
野外露出	야외노출
VIPはメイドとの露出プレイを望んでいます。変態的なプレイに経験のあるメイドがVIPの要望に答えられるでしょう。	VIP는 메이드와의 노출 플레이를 원하고 있습니다.\n변태적인 플레이에 경험이 있는 메이드가 VIP의 요망에 대응할 수 있겠지요.
フリー撮影会	프리 촬영회
お客様に大人気のメイドは、たくさんのお客様達相手にダンスを披露します。エッチな気分になってしまったメイドとお客様達はそのまま……	고객에게 대인기 메이드는 많은 손님들 상대로 춤을 선 보입니다. 야한 기분이 되어 버린 메이드와 손님들은 그대로……
フリー逆ナンパ	프리 역헌팅
お客様はメイドにオモチャをつけるように言いつけます。そうして焦らしたメイドにお客様はとても変態な行為を要求するのでした。	고객은 메이드가 장난감을 들이도록 이릅니다. 그렇게 애태운 하녀에게 손님은 너무 변태 같은 행위를 요구합니다.
フリー痴漢プレイ	프리 치한 플레이
お客様の電車での夜伽という変態なリクエストに、メイドは優しく答えてあげるのでした。	고객의 전차에서의 밤시중이라는 변태 같은 리퀘스트에 메이드는 부드럽게 풀어 주었습니다.
詰られプレイ	매도 플레이
【ご主人様】メイドとの交流を深めるご主人様。二人でバーに行った後、酔いが回ったご主人様は夜伽を全てメイドに任せる事に……	【주인님】메이드와의 관계가 깊어지는 주인님.\n둘이서 바에 간 후, 취기가 돈 주인님은 밤시중을 모두 메이드에게 맡기는데……
お仕置きプレイ	처벌 플레이
【ご主人様】接待中に失敗してしまったメイド。メイドは深く反省しお仕置きを望みます。ご主人様はそのメイドに答える為に地下室に向かうのでした。	【주인님】접대중에 실수를 저지른 메이드.\n메이드는 깊이 반성해 처벌을 원합니다. 주인님은 그 메이드에게 응하기 위해서 지하실로 향하는 것이었습니다.
路地裏露出セックス	골목안 노출 섹스
【ご主人様】メイドをデートに誘うご主人様。デートの帰り、ご主人様はメイドに怪しい衣装とエッチなオモチャを渡します。メイドはそれを受け取って、夜の街で……	【주인님】메이드에게 데이트를 신청하는 주인님.\n데이트가 끝나고, 주인님은 메이드에게 수상한 의상과 야한 장난감을 건네줍니다. 메이드는 그것을 받아, 밤의 거리에서……
らぶらぶ媚薬プレイ	러브러브 미약 플레이
【ご主人様】安祐美の媚薬が残っていて、ふとしたきっかけでメイドは媚薬に触れてしまいます。	【주인님】아유미의 미약이 남아 있고 우연한 계기로 메이드는 미약에 닿아 버립니다.
なりきり新婚プレイ	신혼생활 플레이
【ご主人様】ふとしたきっかけで、二人はメイドとご主人様という関係を忘れて愛し合います。	【주인님】우연한 계기로 두 사람은 메이드와 주인이라는 관계를 잊고 사랑합니다.
痴漢克服プレイ	치한 극복 플레이
【ご主人様】最近痴漢に遭ったというよし子。それに対しご主人様は痴漢に対抗するための特訓をしようと申し出ます。	【주인님】최근 치한한테 당했다는 요시코. 그에 대한 주인님은 치한에 대항하기 위한 훈련을 하라고 신청합니다.
媚薬プレイ	미약 플레이
【ご主人様】仕事中に安祐美が持ち場を離れてしまい、彼女を探しクラブ内を探し回るご主人様。やっと安祐美を見つけるものの彼女は……	【주인님】일 중에 아유미가 현업을 떠나고 그녀를 찾는 클럽 내를 찾아다니는 주인님. 겨우 아유미를 찾지만 그녀는……
お風呂接待	욕실 접대
【ご主人様】桜と一緒にお酒を飲んでいると、彼女にご主人様は臭いと言われてしまいます。そこでご主人様は一緒にお風呂に入ろうと誘います。	【주인님】사쿠라와 함께 술을 마시고 있다고 그녀에게 주인님은 구리다고 들어 버립니다. 거기서 주인님은 함께 목욕탕에 들어가려고 청합니다
ハーレム特訓プレイ	하렘 특훈 플레이
【ご主人様】最近、椎名のことが気になって仕方ないご主人様。そんな折ご主人様は彼女に呼び出される。そこで主人公を待っていたものは……	【주인님】최근, 시이나가 신경이 쓰여서 어쩔 수 없어 주인님. 그런 때 주인님은 그녀를 불러낸다. 거기에서 주인공을 기다리는 건……
催眠強制オナニー	최면 강제 자위
【ご主人様】先日手に入れた『催眠術入門』と言う一冊の本……試して見ようとメイドの部屋へと赴く。	【주인님】 얼마 전 손에 넣은 『최면술 입문』이라는 한권의 책…… 한번 시험해 보자 하고 메이드의 방으로 향한다.
催眠寝取られプレイ	최면 네토라레 플레이
夜。基本的には了承しない、夜へのメイド派遣……しかし主人公は『何故かそれを受けなければならない』と感じてしまい、メイドへと派遣をお願いする。	밤. 기본적으로는 승인하지 않는, 한밤의 메이드 파견…… 그러나 주인공은 『왠지 그것을 받아야 한다』라고 생각해버려, 메이드에게 파견을 부탁한다.
対魔忍イメージプレイ	대마인 이미지 플레이
【ご主人様】ふとメイドの部屋を訪れると、何やら縫い物をしていた。丁度完成したのか嬉しそうにそれを広げるメイド……その手にはあの『対魔忍アサギ』のコスチュームが。	【주인님】 문득 메이드의 방을 찾아가보니, 뭔가 바느질을 하고 있었다. 마침 완성했는지 흐뭇하게 그것을 펼쳐보는 메이드…… 그 손에는 바로 『대마인 아사기』의 코스튬이.
対魔忍乱暴プレイ	대마인 난폭 플레이
対魔忍アサギに思い入れの強いお客様からの要望でコスチュームを渡される。事情を説明し、了解を得て、接待に向かうメイド……するとお客様は既に激しく怒っており……	대마인 아사기에 관심이 많던 고객의 요청으로 코스튬을 건내받는다. 사정을 설명하고, 양해를 얻어, 접대를 하려는 메이드…… 그러나 손님은 이미 크게 화가 났고……
専属メイドである	전속 메이드이다
フリーメイドである	프리 메이드이다
雇用中である	고용중이다
前穴経験済みである	앞으로 한 경험이 있다
前穴後穴いずれかを経験している	앞이나 뒤 어느쪽이든을 경험한적이 있다
両穴経験済みである	양쪽 모두 경험이 있다
｢ルードネスメイド｣を取得している	「루드니스 메이드」를 취득하고 있다
｢アブノーマルメイド｣を取得している	「앱노멀 메이드」를 취득하고 있다
性癖「変態」を取得している	성벽「변태」를 취득하고 있다
性癖「尻穴好き」を取得している	성벽「애널 선호」를 취득하고 있다
性癖「M女」を取得している	성벽「Ｍ녀」를 취득하고 있다
性癖「奉仕好き」を取得している	성벽「봉사 선호」를 취득하고 있다
恋人or愛奴である	연인 또는 애노이다
恋人である	연인이다
信頼である	신뢰이다
特定のイベントを３種類見ている	3종류의 특정한 이벤트를 완료했다
｢騙され接待01｣を実行したメイドである	「속아서 접대 01」을 실행한 메이드이다
｢騙され接待02｣を実行したメイドである	「속아서 접대 02」를 실행한 메이드이다
｢騙され接待03｣を実行したメイドである	「속아서 접대 03」을 실행한 메이드이다
騙され接待（報告）を実行したメイドである	「속아서 접대（보고）」를 실행한 메이드이다
「恋人プレイ」を実行したメイドである	「연인 플레이」를 실행한 메이드이다
｢乱暴なお客様前半｣を実行したメイドである	「난폭한 고객 전반」을 실행한 메이드이다
乱暴なお客様後半１を実行していない	「난폭한 고객 후반 1」을 실행하지 않았다
乱暴なお客様後半２を実行していない	「난폭한 고객 후반 2」를 실행하지 않았다
純愛プレイ前半を実行したメイドである	「순애 플레이 전반」을 실행한 메이드이다
催眠強制オナニーを実行したメイドである	「최면 강제 자위」를 실행한 메이드이다
宮原安祐美の媚薬プレイを実行している	미야하라 아유미의 미약 플레이를 실행했다
交換系のプレイを実行した事が無い	교환계의 플레이를 실행한 일이 없다
乱交系のプレイを実行した事が無い	난교계의 플레이를 실행한 일이 없다
交換・乱交系のプレイを実行した事が無い	교환ㆍ난교계의 플레이를 실행한 일이 없다
他のVIPプレイを実行した事が無い	다른 VIP 플레이를 실행한 일이 없다
特定のイベントを３種類見ている	3종류의 특정한 이벤트를 완료했다
このVIPを実行したことがない	이 VIP 플레이를 실행한 일이 없다
対魔忍乱暴プレイを実行した事が無い	「대마인 난폭 플레이」를 실행한 일이 없다
対魔忍イメージプレイを実行した事が無い	「대마인 이미지 플레이」를 실행한 일이 없다
愛撫を習得している	애무를 습득하고 있다
愛撫を取得している	애무를 취득하고 있다
バイブ責めを習得している	바이브 고문을 습득하고 있다
アナルバイブ責めを習得している	애널 바이브 고문을 습득하고 있다
正常位を習得している	정상위를 습득하고 있다
後背位を習得している	후배위를 습득하고 있다
アナル後背位を習得している	후배위 애널을 습득하고 있다
アナルセックス後背位を習得している	후배위 애널 섹스를 습득하고 있다
騎乗位セックスを習得している	기승위 섹스를 습득하고 있다
対面騎乗位セックスを習得している	대면 기승위 섹스를 습득하고 있다
正常位・後背位・騎乗位を習得している	정상위ㆍ후배위ㆍ기승위를 습득하고 있다
グラインド騎乗位を習得している	그라인드 기승위를 습득하고 있다
バイブ責めアナルセックスを習得している	바이브 고문 애널 섹스를 습득하고 있다
言葉責め愛撫を習得している	꾸짖기 애무를 습득하고 있다
だいしゅきホールドを習得している	다이슈키 홀드를 습득하고 있다
かわいいポーズを習得している	귀여운 포즈를 습득하고 있다
Hなポーズを習得している	H한 포즈를 습득하고 있다
オナニーを習得している	자위를 습득하고 있다
バイブオナニーを習得している	바이브 자위를 습득하고 있다
アナルバイブオナニーを習得している	애널 바이브 자위를 습득하고 있다
フェラオナニーを習得している	페라 자위를 습득하고 있다
犬プレイを習得している	개플레이를 습득하고 있다
露出プレイを習得している	노출 플레이를 습득하고 있다
露出プレイを取得している	노출 플레이를 취득하고 있다
露出セックス背面立位を習得している	노출 배면입위 섹스를 습득하고 있다
露出セックス背面立位を取得している	노출 배면입위 섹스를 취득하고 있다
痴漢愛撫を習得している	치한 애무를 습득하고 있다
痴漢セックスを習得している	치한 섹스를 습득하고 있다
フェラを習得している	페라를 습득하고 있다
フェラチオを習得している	펠라치오를 습득하고 있다
フェラチオを取得している	펠라치오를 취득하고 있다
手コキ・フェラチオを習得している	손 시중ㆍ펠라치오를 습득하고 있다
シックスナインを取得している	69를 취득하고 있다
セルフイラマを習得している	셀프 이라마를 습득하고 있다
ディープスロートを習得している	딥스로트를 습득하고 있다
スケベ椅子フェラを習得している	호색가의자 페라를 습득하고 있다
スケベ椅子セックスを習得している	호색가의자 섹스를 습득하고 있다
全身洗いを習得している	전신 씻겨주기를 습득하고 있다
MP全身洗いを習得している	매트 플레이 전신 씻겨주기를 습득하고 있다
イラマチオを習得している	이라마치오를 습득하고 있다
拘束愛撫を習得している	구속 애무를 습득하고 있다
三角木馬拘束を取得している	삼각목마 구속을 취득하고 있다
ギロチン拘束セックスを習得している	길로틴 구속 섹스를 습득하고 있다
乱交奉仕を習得している	난교 봉사를 습득하고 있다
乱交3Pセックス正常位を習得している	난교 3P 정상위 섹스를 습득하고 있다
乱交3Pアナルセックス正常位を習得している	난교 3P 정상위 애널 섹스를 습득하고 있다
詰られ手コキを習得している	매도 애무를 습득하고 있다
詰られパイズリを習得している	매도 파이즈리를 습득하고 있다
詰られ騎乗位を習得している	매도 기승위를 습득하고 있다
お仕置きセックス後背位を習得している	처벌 후배위 섹스를 습득하고 있다
個人評価	개인 평가
取得客評価	취득 고객 평가
取得資金	취득 자금
夜伽結果	밤 시중 결과
夜伽回数	밤 시중 횟수
接客回数	접객 횟수
淫欲	음욕
M性	M성향
変態	변태
奉仕	봉사
夜伽クラスレベル	밤 시중 LV
夜伽クラスEXP	밤 시중 EXP
接客結果	접객 결과
クラブ評価	클럽 평가
客評価	고객 평가
取得評価	취득 평가
結             果	결　　과
借金	채무
借金残高	채무 잔액
収             入	수　　입
完済まで	완재 까지
収入	수입
資             金	자　　금
合             計	합　　계
清             潔	청　　결
絢             爛	현　　란
