서ステージ選択	스테이지 선택
ポーズをとらせるC	포즈 C를 취하게 한다
お尻を見る	엉덩이를 본다
胸を見る	가슴을 본다
秘部を見る	비부를 본다
今の気持ちを告白させる	지금의 기분을 고백 시킨다☆
変態だといやらしく詰る	변태라면 추잡하게 따진다☆
オナニーさせる	자위 시킨다
強くオナニーさせる	강하게 자위 시킨다
クリトリスを責めさせる	클리토리스를 꾸짖게 시킨다
指を増やしてオナニーさせる	손가락을 늘려 자위 시킨다
クリトリスを弄らせる	클리토리스를 만지게 한다
指三本で弄らせる	손가락 세개로 만지게 한다
おねだりさせる	조르도록 시킨다☆
バイブを舐めさせる	바이브를 빨게 시킨다
バイブの感想を言わせる	바이브의 감상을 말하게 한다☆
靴を舐める	구두를 빨게한다
犬ポーズを取らせる	개 포즈를 하도록 시킨다
変態ポーズをとらせるA	변태 포즈 A를 취하게 한다
変態ポーズをとらせるB	변태 포즈 B를 취하게 한다
変態ポーズをとらせるC	변태 포즈 C를 취하게 한다
感想を言わせる	감상을 말하게 한다☆
口を塞ぎながら	입을 틀어막으면서
ペニスを握らせる	페니스를 쥐어 준다
両胸を揉む	양쪽 가슴을 주무른다
尻を撫でる	엉덩이를 어루만진다
素股をさせる	스마타를 시킨다
放尿させる	방뇨 시킨다☆
おねだりオナニー	자위 졸라대기
奉仕させる	봉사 시킨다
丁寧に奉仕させる	정중하게 봉사 시킨다
射精	사정
顔射	안면사정
咥えさせる	물게 시킨다
丁寧に咥えさせる	정중하게 물게 시킨다
口内射精	입안에 사정한다
舐めさせる	빨게 시킨다
丁寧に舐めさせる	정중하게 빨게 시킨다
裏筋を舐めさせる	성기 뒷부분을 햝게 시킨다
キスさせる	키스 시킨다
止めさせる	멈추게 한다
玉を弄らせる	구슬을 만지작거리게 한다
顔に出す	얼굴에 사정한다
愛液を味わう	애액을 맛본다
玉を舐めさせる	구슬을 빨게 시킨다
尻を舐める	엉덩이를 빤다
足を舐める	다리를 빤다
尻穴を責めながら	항문을 꾸짖으면서
洗わせる	씻게 한다
丁寧に洗わせる	정중하게 씻게 한다
洗わせる２	씻게 한다 ２
乳首を舐めさせる	유두를 빨게 시킨다
四つん這い尻舐め	네발로 엎드려 엉덩이를 빤다
たわし洗いをさせる	수세미로 씻겨주도록 시킨다
胸洗いをさせる	가슴으로 씻겨주도록 시킨다
壺洗いをさせる	항아리로 씻겨주도록 시킨다
口内出しおねだり	구내사정 졸라대기♡
精液飲み	정액을 마시게 한다
乳首を摘まみ上げる	유두를 집어올린다
クリトリスを摘み上げる	클리토리스를 집어올린다
口を責める	입을 꾸짖는다
激しく口を責める	격렬하게 입을 꾸짖는다
口に出す	입안에 낸다
顔に掛ける	얼굴에 건다
しっかり咥えろと罵る	확실히 물라고 매도한다☆
首絞めながら	목을 조르면서
尻を叩く	엉덩이를 때린다
尻を叩きながら	엉덩이를 두드리면서
頬を叩く	뺨을 때린다
胸を叩く	가슴을 때린다
乳首を捻り上げる	젖꼭지를 비틀어 올린다
肩を押す	어깨를 짖누른다
惨めなメイドを罵倒する	비참한 메이드를 매도한다☆
胸をムチで叩く	가슴을 채찍으로 때린다
秘部をムチで叩く	비부를 채찍으로 때린다
背中をムチで叩く	등을 채찍으로 때린다
脚をムチで叩く	다리를 채찍으로 때린다
胸にロウを垂らす	가슴에 촛농를 떨어뜨린다
秘部にロウを垂らす	비부에 촛농를 떨어뜨린다
背中にロウを垂らす	등에 촛농를 떨어뜨린다
脚にロウを垂らす	다리에 촛농를 떨어뜨린다
胸を一本ムチで叩く	가슴에 채찍으로 일격을 가한다
秘部を一本ムチで叩く	비부에 채찍으로 일격을 가한다
背中を一本ムチで叩く	등에 채찍으로 일격을 가한다
脚を一本ムチで叩く	다리에 채찍으로 일격을 가한다
胸に高温ロウを垂らす	가슴에 뜨거운 초를 붓는다
秘部に高温ロウを垂らす	비부에 뜨거운 초를 붓는다
背中に高温ロウを垂らす	등에 뜨거운 초를 붓는다
脚に高温ロウを垂らす	다리에 뜨거운 초를 붓는다
キスをする	키스한다
胸を揉む	가슴을 주무른다
お客様に奉仕させる	손님에게 봉사하도록 시킨다
オナニーさせながら	자위하도록 하면서
ペニスを擦り付ける	페니스를 문지른다
責めさせる	꾸짖게 한다
丁寧に責めさせる	정중하게 꾸짖게 한다
お客様に責めさせる	손님이 꾸짖게 한다
喉奥に擦りつけさせる	목 안쪽을 문지르게 한다
頭を撫でさせる	머리를 어루만지게 한다
キスさせながら	키스하게 하면서
胸を揉ませながら	가슴을 비비게 하면서
胸を揉ませながらキス	가슴을 비비게 하면서 키스
クリトリスを責めさせながら	클리토리스를 꾸짖게 하면서
尻穴を責めさせながら	항문을 꾸짖게 하면서
中出しさせる	안에다 사정하게 한다
外出しさせる	밖에다 사정하게 한다
口内射精させる	입안에 사정하게 한다
顔射させる	얼굴에 사정하게 한다
口汚く罵らせる	사납게 매도하게 하면서
キスをさせながら	키스하게 하면서
尻を叩かせながら	엉덩이를 때리도록 하면서
グラインドしながら	그라인드 하면서
秘部に擦りつける	음부에 문지르며 비벼댄다
奉仕して頂く	봉사해 받는다
丁寧に奉仕して頂く	정중하게 봉사해 받는다
止めて頂く	멈추도록 해 받는다
射精させて頂く	사정시켜 받는다
中出しさせて頂く	안에다 사정하시켜 받는다
外出しさせて頂く	밖에다 사정시켜 받는다
玉を弄って頂く	구슬을 만지작거리게 한다
顔射させて頂く	얼굴에 사정시켜 받는다
責めて頂く	꾸짖어 받는다
強く責めて頂く	강하게 꾸짖어 받는다
キスして頂く	키스해 받는다
胸を揉ませて頂く	가슴을 비비도록해 받는다
オナニーして頂く	자위해 받는다
オナホでシゴいて頂く	오나홀로 훑게해 받는다
丁寧にオナホでシゴいて頂く	정중하게 오나홀로 훑게해 받는다
オナホで苛めて頂く	오나홀로 구박해 받는다
足で奉仕して頂く	발로 봉사해 받는다
丁寧に足で奉仕して頂く	정중하게 발로 봉사해 받는다
口汚く罵って頂く	사납게 매도해 받는다☆
パンツで苛めて頂く	팬티로 구박해 받는다☆
グラインドして頂きながら	그라인드 하게 하면서
自分の胸を揉んで頂きながら	자신의 가슴을 주무르게 하면서
汚い尻穴を責めて頂く	더러운 항문을 꾸짖게 한다
汚い尻を叩いて頂く	더러운 엉덩이를 두들기게 한다
汚いモノを絞って頂く	더러운 물건을 짜게 한다
咥えて頂く	물게 한다
丁寧に咥えて頂く	정중하게 물게 한다
口内射精させて頂く	입안에 사정하도록 한다
汚い尻穴を舐めて頂く	더러운 항문을 빨게 한다
聖水を浴びさせて頂く	성수를 뿌리도록 한다
舐めさせて頂く	핥도록 한다
丁寧に舐めさせて頂く	정중하게 핥도록 한다
残念だが止めさせて頂く	유감이지만 멈추도록 한다
イって頂く	가게해 받는다
押し付けて頂く	짖누르게해 받는다
キスして頂きながら	키스해 받도록 하면서
詰って頂く	힐책해 받는다
二人に奉仕させる	두 사람에게 봉사 시킨다
二人に丁寧に奉仕させる	두 사람에게 정중하게 봉사 시킨다
一人に咥えさせるA	한 사람에게 물게 시킨다 A
一人に咥えさせるB	한 사람에게 물게 시킨다 B
二人に足で奉仕して頂く	두 사람에게 발로 봉사해 받는다
二人に丁寧に足で奉仕して頂く	두 사람에게 정중하게 발로 봉사해 받는다
感想を聞くA	감상을 묻는다 A
感想を聞くB	감상을 묻는다 B
尻穴を弄りながら	항문을 희롱하면서
三人に奉仕させる	세 사람에게 봉사 시킨다
三人に丁寧に奉仕させる	세 사람에게 정중하게 봉사 시킨다
感想を聞くC	감상을 묻는다 C
秘部を弄りながら	음부를 희롱하면서
おねだりさせるA	조르도록 시킨다 A
おねだりさせるB	조르도록 시킨다 B
