$^(.+?)、何を……$	$1, 무엇을……
$^(.+?)の膣内がきゅっと締まり、俺のペニスを甘く刺激する。$	$1의 질내가 꽉 조여서, 나의 페니스를 달콤하게 자극한다.
$^俺は(.+?)に主導権を握られる形で、熱く滾った精液を膣内に注ぎ込んでいく。$	나는 $1에게 주도권이 잡히는 형태로, 뜨겁게 달아오른 정액을 질내에 쏟는다.
$^(.+?)の膣内は、俺の精液を求めるように、ぐっと締まっていく。$	$1의 질내는 나의 정액을 요구하듯이, 훨씬 더 조여진다.
$^……どうかな、(.+?)の事……満足させられたかな？$	…… 어때, $1…… 만족했으려나?
$^淫魔が微笑むように、(.+?)は俺に微笑をくれる。$	음란마귀가 미소짓듯이 $1는 나에게 미소를 지어준다.
$^この後の夜伽も、俺は(.+?)に魅了されてしまうのだろう。$	이 뒤의 밤시중도 나는 $1에게 매료되어 버릴 것이다.
$^あと少しで部屋というところまで来て、(.+?)はもじもじと脚をすり合わせる。$	조금 뒤, 방에까지 와서 $1는 쭈뼛쭈뼛 다리를 맞대고 비빈다.
$^(.+?)はしゃがみこんで、言い訳を零しながら、自分の秘部へと指を伸ばす。$	$1는 웅크리고 앉아 불평을 하면서 자신의 음부를 손가락으로 벌린다.
$^いやらしいね、(.+?)は。こんなところでオナニー始めちゃってさ。$	음란하네, $1는. 이런데서 자위를 하고 말야.
$^(.+?)はオナニーに熱中し、ひとりでにその激しさを増していく。$	$1는 자위에 열중해서, 자연스럽게 그 격렬함을 더해 간다.
$^(.+?)は俺の許可を得て、自ら絶頂に向かってクリトリスを擦り始める。$	$1는 나의 허가를 얻어서, 절정에 향해 스스로 클리토리스를 문지르기 시작한다.
$^(.+?)は愛液を迸らせ、背中を反らして上り詰める。$	$1는 애액을 내뿜으면서 등을 뒤로 젖힌다.
$^ほら、早く立って(.+?)。$	자, 빨리 일어서 $1.
$^こんな場所でオナニーして、絶頂まで迎える(.+?)。$	이런 장소에서 자위하고 절정까지 맞이하는 $1.
$^そんな(.+?)の姿を見ていたら、俺ももう、我慢なんて出来そうになかった。$	그런 $1의 모습을 보고 있었더니 나도 이제 참을 수 있을 것 같지 않았다.
$^俺の提案に、(.+?)は身体をくねらせた。$	나의 제안에 $1는 몸을 비비 꼬았다.
$^変態でしょ？　(.+?)は。$	변태지? $1는.
$^こんなところでおしっこしちゃう(.+?)、きっとすごく可愛いんだろうなぁ。$	이런데서 오줌 눠 버리는 $1, 분명 엄청 귀여울 거야.
$^曝け出された(.+?)の秘部は、てらてらと艶かしい滑りを帯びている。$	드러난 $1의 음부는 번들번들해서, 요염하고 미끄러워 보였다.
$^(.+?)の割れ目から、勢いよく尿が溢れてくる。$	$1의 벌어진 곳에서 힘차게 오줌이 터져 나온다.
$^朗らかな笑顔なのに、とんでもないことを言う(.+?)。$	명랑하게 웃는 얼굴로 터무니 없는 말을 하는 $1.
$^部屋までもう少しだというのに、(.+?)は俺に甘い声を聞かせてくる。$	방까지 좀 더라고 하는데, $1는 나에게 달콤한 목소리를 들려준다.
$^俺は(.+?)に答えるように、ゆっくりと口付けた。$	나는 $1에 대답하듯이, 천천히 입을 맞추었다.
$^情熱的な(.+?)に答えるため、俺は舌を伸ばして(.+?)の口内に差し入れる。$	정열적인 $1에게 대답하기 위해, 나는 혀를 뻗어 $2의 입안에 넣는다.
$^(.+?)は、待っていたとばかりに激しく舌を絡めてくる。$	$1는 기다리고 있었다는 듯이 격렬하게 혀를 감아 온다.
$^可愛くねだる(.+?)。$	귀엽게 조르는 $1.
$^ん？　どうかした？　(.+?)。$	응? 뭐 하는 거야? $1.
$^俺の了解を取らずに、(.+?)はペニスを露出させてしまう。$	나의 이해를 구하지 않고, $1는 페니스를 노출시켜 버린다.
$^情熱的な(.+?)とはいえ、これはかなり大胆だ。$	정열적인 $1라고는 해도, 이건 꽤나 대담하다.
$^いきなりの口内奉仕。そしてすぐに(.+?)は熱を増していく。$	갑작스러운 입으로 봉사. 그리고 곧바로 $1는 열을 올려 간다.
$^こんな場所で、いきなりなのに……(.+?)は精液をねだるように吸い付いてきた。$	이런 장소에서 갑자기인데…… $1는 정액을 조르듯이 달라붙어 왔다.
$^俺は我慢できずに、ペニスを震わせて精液を(.+?)の口内へと打ち出す。$	나는 참지 못하고 페니스를 떨면서 정액을 $1의 입안으로 쏟아낸다.
$^(.+?)の火照った身体の熱が、俺にも移ったかのようだった。$	$1의 달아오른 몸의 열기가 나에게 옮겨온 것 같았다.
$^部屋に向かう途中、ふと(.+?)は足を止めた。$	방으로 가는 도중, 문득 $1는 발걸음을 멈췄다.
$^魅力的なお誘いを断れるはずもなく、(.+?)の唇へと引き寄せられた。$	매력적인 유혹을 거절할 수도 없이, $1의 입술에 이끌렸다.
$^(.+?)は激しく唇を重ねてくる。$	$1는 격렬하게 입술을 거듭해 온다.
$^けれども、すぐに唇を離す(.+?)。$	그러나, 곧바로 입술을 떼어 놓는 $1.
$^すぐに思いあたったけれど、直接(.+?)の口から聞いてみたい。$	바로 알아챘지만, 직접 $1의 입으로 듣고 싶다.
$^そう言いながら(.+?)は、体勢を変えて、いやらしくこちらを見つめてくる。$	그렇게 말하면서 $1는 자세를 바꾸고, 음란하게 이쪽을 바라본다.
$^ぷるぷると、(.+?)のお尻が小刻みに震えている。$	부들부들하고 $1의 엉덩이가 조금씩 떨리고 있다.
$^俺も今すぐにしたいけれど、可愛い(.+?)の姿を見てたらもう少し焦らしてみたくなった。$	나도 지금 당장 하고 싶지만, 사랑스러운 $1의 모습을 보고 있자니 좀 더 애태우고 싶어졌다.
$^淫らな台詞で硬くなったペニスを、(.+?)へと挿入する。$	음란한 대사로 딱딱해진 페니스를, $1에게 삽입한다.
$^もう(.+?)の身体はすっかり出来上がっていた。$	이제 $1의 몸은 완전히 완성되었다.
$^……ほんとに、エッチだな(.+?)は。$	…… 정말 야하네 $1는.
$^(.+?)の膣内も、断続的に俺のペニスを締め付けてくる。$	$1의 질내도 간헐적으로 나의 페니스를 꽉 조여 온다.
$^(.+?)の腰が跳ねると同時に、俺も膣内へと精液を放つ。$	$1의 허리가 튀는 것과 동시에, 나도 질내에 정액을 내보낸다.
$^吸い取るように膣内は蠢き、俺は震える(.+?)の身体を抑えて腰を密着させていた。$	빨아들이려는 듯이 질내가 꿈틀거리고, 나는 떨리는 $1의 몸을 누르고 허리를 밀착시키고 있었다.
$^……これで、満足した？　(.+?)。$	…… 이걸로 만족했어? $1.
$^いやらしくも愛らしい(.+?)の誘惑。$	음란하면서도 사랑스러운 $1의 유혹.
$^夜伽の部屋へと向かう途中、(.+?)は立ち止まり、こちらを熱っぽい瞳で見つめてきた。$	밤시중을 위해 방으로 가는 도중, $1는 멈춰 서서 이쪽을 뜨거운 눈으로 바라봤다.
$^そういって(.+?)は、俺の目の前で膝立ちにしゃがみこむ。$	그렇게 말하면서 $1는, 나의 눈 앞에서 무릎을 꿇고 주저앉는다.
$^……(.+?)は、どうしてほしいのかな？$	……$1는 왜 원하는 거야?
$^(.+?)はだらしなく口を開き、見せつけるように俺を誘惑してくる。$	$1는 칠칠치 못하게 입을 열고 보란듯이 나를 유혹해 온다.
$^しょうがないなぁ……(.+?)は。$	어쩔 수 없네……$1는.
$^いきなりペニスを口内深くまで押し込んでも、(.+?)は恍惚とそれを受け止める。$	갑자기 페니스를 입안 깊숙이 밀어넣어도, $1는 황홀하게 그것을 받아 들인다.
$^……どんだけされたら気が済むの？　(.+?)はほんとに、変態だなぁ。$	…… 얼마나 받으면 기분이 풀리는 거야? $1는 정말 변태야.
$^(.+?)の期待に応えるように、俺は腰の動きを速めていった。$	$1의 기대에 대답하듯이, 나는 허리의 움직임을 빠르게 한다.
$^(.+?)の奥へと向かって激しく腰を振ると、絶頂感で甘く痺れてくる。$	$1의 안쪽을 향해 격렬하게 허리를 흔들면, 절정의 느낌이 달콤하게 저려 온다.
$^(.+?)の顔へ腰を打ち付けて、そのままペニスから精液を吐き出す。$	$1의 얼굴에 허리를 부딪치고, 그대로 페니스에서 정액을 내뿜는다.
$^乱暴な言い方にも、(.+?)は身体を震わせて喜ぶ。$	난폭한 말투에도 $1는 몸을 떨면서 기뻐한다.
$^……なに？　(.+?)。$	……뭐야? $1.
$^(.+?)は俺に尻を突き出して、熱っぽい瞳で見つめてくる。$	$1는 나에게 엉덩이를 내밀면서 뜨거운 눈으로 바라본다.
$^いやらしくペニスを求めてくる(.+?)。$	음란하게 페니스를 요구해 오는 $1.
$^本当にスケベだな、(.+?)は。$	정말 변태네, $1는.
$^言いながら、俺は(.+?)の尻に手の平を打ち付けた。$	말하면서 나는 $1의 엉덩이를 손바닥으로 내려쳤다.
$^(.+?)の、変態なまでのおねだりに、俺はさらに激しく腰を振りたてる。$	$1의 변태같은 애원에, 나는 더 격렬하게 허리를 흔든다.
$^本当に我がままだね(.+?)は……$	정말 제멋대로네 $1는……
$^こんな場所で尻を叩きながら(.+?)を責めていることに、俺も高まってきていた。$	이런 장소에서 엉덩이를 때리면서 $1를 꾸짖고 있다는 것에, 나도 들뜨고 있었다.
$^(.+?)はゆっくり息を整えながらも、恍惚とした表情を浮かべている。$	$1는 천천히 숨을 고르면서도 황홀한 표정을 짓고 있다.
$^少し落ち着いたのか、申し訳無さそうにする(.+?)。$	조금 진정되었는지 미안해하는 것 같은 $1.
$^嬉しいよ、(.+?)……$	기뻐, $1……
$^俺は、積極的な(.+?)に身を任せる事にした。$	나는, 적극적인 $1에 몸을 맡기는 일로 했다.
$^(.+?)がこんなに積極的になるなんてね。$	$1가 이렇게 적극적으로 되다니.
$^(.+?)は喉を鳴らし、俺の吐き出した精液を一滴残らず飲み下す。$	$1는 목을 울려, 내가 토해낸 정액을 한 방울 남김없이 삼킨다.
$^(.+?)はじっとペニスを見て、熱い吐息を感じさせてくれる。$	$1는 가만히 페니스를 봐, 뜨거운 한숨을 느끼게 해 준다.
$^そう言って、(.+?)からの奉仕は続くのであった……$	그렇게 말해, $1로부터의 봉사는 계속되는 것이었다……
$^もちろんだよ。……期待してるの、(.+?)？$	물론이야. …… 기대하고 있어, $1?
$^普段の(.+?)なら、到底言いそうにない言葉だ。$	평소의 $1라면, 도저히 말할 것 같지 않은 말이다.
$^どこか熱っぽい様子に便乗する形で、俺は(.+?)に言う。$	어딘가 열띤 모습에 편승하는 형태로, 나는 $1에게 말한다.
$^(.+?)がしたいって言うから、ここでしてるんだろ？$	$1가 하고 싶다고 하니까, 여기서 할까?
$^(.+?)の秘部に指を這わせながら、俺は言った。$	$1의 음부에 손가락을 뻗어가면서 나는 말했다.
$^無防備に身を任せる(.+?)を、好きなように責め立てる。$	무방비하게 몸을 맡기는 $1를, 마음껏 밀어붙인다.
$^まるで抑える様子などなく、(.+?)は卑猥な声を上げる。$	전혀 참으려는 기색도 없이 $1는 음란한 소리를 지른다.
$^言われるままに、俺は(.+?)の膣内を刺激していく。$	말하는대로 나는 $1의 질 내를 자극한다.
$^やがて水音が混じり、(.+?)の声にも先ほどまでよりも強い快感の色が混じっていく。$	이윽고 물소리가 섞이면서, $1의 목소리에도 방금전보다 강한 쾌감의 색이 섞인다.
$^遠慮する事はないよ、(.+?)。いつでもイっていいから。$	사양할 필요 없어, $1. 언제든지 가도 좋으니까.
$^(.+?)の膣内は絶頂して蠕動し、内部を刺激していた俺の指を締め付けた。$	$1의 질내는 절정하면서 움찔거리다가, 내부를 자극하고 있던 나의 손가락을 꽉 조였다.
$^ずいぶん派手にイったね、(.+?)。今の声、誰かに聞かれちゃったかもしれないよ。$	꽤나 화려하게 가버렸네, $1. 방금 소리는 누가 들어 버렸을지도 몰라.
$^絶頂の余韻が終わっていない(.+?)が、蕩けた瞳で俺を見る。$	절정의 여운이 끝나지 않은 $1가 녹아내린 눈으로 나를 본다.
$^その視線に、俺は早く夜伽を始めたいとばかりに、(.+?)と共に場所を変えるのだった。$	그 시선에, 나는 빨리 밤시중을 시작하고 싶다는 듯이 $1와 함께 장소를 바꾸는 것이었다.
$^どこかぼうっとした様子で、(.+?)が俺を見る。$	어딘가 멍한 듯한 모습으로, $1가 나를 본다.
$^(.+?)らしからぬ台詞というか、酔っているからこその無防備な言葉だろう。$	$1답지 않은 대사라고 할까, 취하고 있어서 무방비한 말일 것이다.
$^俺は(.+?)の前にペニスを突き出した。$	나는 $1의 앞에 페니스를 내밀었다.
$^(.+?)にされる事に期待して、すでに大きく膨らんでいる。$	$1가 해주는 것을 기대하고 이미 크게 부풀어 있다.
$^(.+?)はペニスを口内に含むと、早速動き始めた。$	$1는 페니스를 입 안에 삼키고나서 바로 움직이기 시작했다.
$^ざらつく舌に刺激されながらも、(.+?)の吐息が掛かる。$	낼름거리는 혀에 자극되면서도, $1의 한숨이 걸린다.
$^激しい方がいいな、(.+?)。$	격렬한 편이 좋아, $1.
$^あぁ、気持ち良いよ。……これ以上されたら、(.+?)の口でイカされちゃいそうだよ。$	아아, 기분 좋아 …… 더 이상 하면 $1의 입으로 가버릴 것 같아.
$^(.+?)の口の中で、俺のペニスがビクビクと震えた。$	$1의 입 안에서 나의 페니스가 움찔움찔 떨렸다.
$^激しく奉仕される(.+?)の感触に、俺は限界を迎える。$	격렬하게 봉사하는 $1의 감촉에 나는 한계를 맞이한다.
$^あまりの刺激に、俺は(.+?)の口内で射精してしまう。$	지나친 자극에 나는 $1의 입안에 사정하고 말았다.
$^(.+?)の口へと、熱い精液が放たれていく。$	$1의 입으로 뜨거운 정액이 빠져나간다.
$^(.+?)が喉を鳴らして、俺の精液を飲み干していく。$	$1가 목에서 소리를 내면서 나의 정액을 삼킨다.
$^気持ち良かったよ、(.+?)。$	기분 좋았어, $1.
$^精液を飲み干したばかりの(.+?)を見て、俺は再びペニスを滾らせていた。$	정액을 먹은 직후인 $1를 보고, 나는 다시 페니스를 끓어오르게 하고 있었다.
$^だから、早く場所を変えよう、(.+?)。$	그니까 빨리 장소를 바꾸자, $1.
$^夜伽への道すがら、(.+?)はそんな事を言いだした。$	밤시중을 하다가 $1는 그런 말을 했다.
$^(.+?)が潤んだ瞳で俺を見る。$	$1가 촉촉한 눈으로 나를 본다.
$^あぁ、いいよ、(.+?)。$	아아, 좋아, $1.
$^俺がそう答えると、(.+?)は熱っぽい空気のまま顔を寄せてきた。$	내가 그렇게 대답하자 $1는 뜨거운 분위기 그대로 얼굴을 대어 왔다.
$^ここでしたいの？　(.+?)、本気なのかな。$	여기서 하고 싶어? $1, 진심인 걸까.
$^そうか、わかった。……それじゃ(.+?)、壁に手をつけて。$	그런가, 알았어. …… 그러면 $1, 벽을 손으로 짚어.
$^俺に言われた通り、(.+?)は素直に壁に手をつけて、お尻をこちらに付き出す。$	내가 시킨대로 $1는 고분고분하게 벽에 손을 대고, 엉덩이를 이쪽으로 향했다.
$^ふふ、(.+?)、エッチだな。こんなところでしたいだなんて……$	후후, $1, 야하네. 이런데서 하고 싶어 하다니……
$^可愛いな、(.+?)は。……それじゃ挿れるね。$	사랑스러워, $1는. …… 그럼 넣을게.
$^俺はペニスの先端を(.+?)の秘部にあてがうと、そのまま一息に挿入した。$	나는 페니스의 끝을 $1의 음부에 갖다대고, 그대로 단숨에 삽입했다.
$^(.+?)の膣内が、俺のペニスを締め上げた。$	$1의 질 내가 나의 페니스를 조였다.
$^抽送を繰り返す度に肉襞が擦れて、(.+?)から熱い吐息が漏れる。$	삽입을 반복할 때마다 질벽이 비벼서, $1로부터 뜨거운 한숨이 새어 나온다.
$^(.+?)はエッチだな。俺のを、咥えて離そうとしない……$	$1는 야하네. 나를 꽉 물고서는 안 놓으려고 하네……
$^(.+?)に促されるままに、俺は抽送の速度を上げた。$	$1가 재촉하는 대로, 나는 삽입의 속도를 올렸다.
$^何度も何度も打ち付けていくと、(.+?)の秘部から段々と卑猥な水音が鳴り響き始める。$	몇번이고 몇번이나 쑤셔대니, $1의 음부로부터 점점 음란한 물소리가 나오기 시작한다.
$^そんなに気持ち良いのか、(.+?)？$	그렇게 기분 좋은 거야, $1?
$^俺も、(.+?)とこうしてできて嬉しいよ。……もっと激しくしてもいいかな？$	나도 $1랑 이렇게 할 수 있어서 기뻐. ……좀 더 격렬하게 해도 될까?
$^(.+?)の嬌声めいた声を聞きながら、俺はさらに動きを速めた。$	$1의 간드러지는 목소리를 들으면서, 나는 한층 더 움직임을 빠르게 했다.
$^愛液の滴る(.+?)の秘部に、俺のペニスを押し込んでは引き抜いてを繰り返す。$	애액이 방울져서 떨어지는 $1의 음부에, 나의 페니스를 밀어 넣고 뽑아 내는 것을 반복한다.
$^我慢なんかしなくていいから。このまま、ここでイっていいぞ、(.+?)。$	참지 않아도 되니까. 이대로, 여기서 가도 돼, $1.
$^(.+?)の膣内が収縮してペニスを締め上げる。$	$1의 질 내가 수축해 페니스를 조인다.
$^その瞬間、俺の先端が(.+?)の最奥を突き上げていた。$	그 순간, 나의 끝 부분이 $1의 가장 안쪽을 밀어올리고 있었다.
$^(.+?)が嬌声を上げて絶頂すると同時に、俺も射精していた。$	$1가 소리를 지르며 절정하는 것과 동시에, 나도 사정하고 있었다.
$^絶頂の震えが治まり、(.+?)は余韻を味わうかのように甘い吐息を零した。$	절정의 떨림이 가라앉고, $1는 여운을 맛보는 듯한 달콤한 한숨을 흘렸다.
$^酔いも手伝っているのだろうが、(.+?)が蕩けるようにそんな事を口にした。$	술기운이 돕고 있겠지만, $1가 녹을듯이 그런 말을 했다.
$^あれ……？　どうしたの、(.+?)。早く移動しようよ。$	어라……? 왜 그래, $1. 빨리 이동하자.
$^我慢できないのは(.+?)だろ？　見ててあげるからさ、一人でしてみなよ。$	참을 수 없는 건 $1잖아? 봐주고 있을테니까, 혼자서 해 봐.
$^地べたに座り込んだ(.+?)は、熱に浮かされたように自らの秘部に指を這わせた。$	바닥에 주저앉은 $1는, 열에 들뜬 것처럼 자신의 음부에 손가락을 뻗어갔다.
$^酔っ払っているとはいえ、(.+?)は本当にいやらしいな。ご主人様をオカズに使うなんて……$	취해 있다고는 해도 $1는 정말로 야하네. 주인님을 반찬으로 쓰다니……
$^秘部を卑猥に掻き回しながら、(.+?)は甘く吐息を漏らす。$	음부를 음란하게 휘저으면서 $1는 달콤한 한숨을 흘린다.
$^激しく秘部を掻き回しながら、(.+?)は思いきりクリトリスを捻り上げた。$	격렬하게 음부를 휘저으면서, $1는 마음껏 클리토리스를 비틀었다.
$^その瞬間、(.+?)の身体が震え出す。$	그 순간, $1의 몸이 떨리기 시작한다.
$^はは、本当にイっちゃったね、(.+?)。$	하하, 진짜로 가 버렸네, $1.
$^(.+?)の秘部からは愛液が滴り落ちている。$	$1의 음부에서는 애액이 방울져 떨어지고 있다.
$^それは嬉しいな。それじゃ、早く場所を変えようよ、(.+?)。$	그건 기쁘네. 그럼 빨리 장소를 바꾸자, $1.
$^(.+?)のオナニーを見て気持ちが昂ぶっていた俺は、(.+?)にそう促した。$	$1의 자위를 보고 기분이 고조되고 있던 나는, $2에게 그렇게 재촉했다.
$^ん、どうしたの。(.+?)、お酒飲み過ぎた？$	응, 왜 그래. $1, 술을 너무 마셨어?
$^ここに来るまでにだいぶ飲酒をしていた(.+?)は、かなり酔いが回っている様子だった。$	여기에 올 때까지 술을 많이 마시고 있던 $1는, 꽤나 취기가 돌고 있는 모습이었다.
$^(.+?)が何を言いたいのかわかっていたが、俺はあえて質問した。$	$1가 무슨 말을 하고 싶은 것인지 알고 있었지만, 나는 굳이 질문했다.
$^(.+?)こそ何を言ってるんだよ。……ここで漏らす事考えて、ドキドキしてるくせに。$	$1야말로 무슨 말을 하는 거야. …… 여기서 싸버리는 걸 생각하고 두근거리고 있는 주제에.
$^俺は構わないよ。まあ、(.+?)がどうしてもトイレでしたいって言うなら止めないけどさ。……(.+?)は、どうしたい？$	나는 상관없어. 뭐, $1가 아무래도 화장실에서 하고싶다고 말한다면 멈추겠지만 말야. ……$2는 어떻게 하고 싶어?
$^俺の言葉に、(.+?)が悩む素振りを見せた。$	나의 말에 $1는 고민하는 기색을 보였다.
$^酔いも手伝ってか、(.+?)は自分の欲求に任せてその場にしゃがみ込んだ。$	취기가 도왔는지, $1는 자신의 욕구에 몸을 맡겨 그 자리에 웅크리고 앉았다.
$^まるで変態、じゃなくて、変態そのものだよ、(.+?)。$	마치 변태같은 게 아니고 변태 그 자체야, $1.
$^我慢していたからだろう、(.+?)の尿が勢い良く放たれた。$	참고 있었기 때문일까, $1의 오줌이 기세 좋게 뿜어져 나온다.
$^(.+?)は変態なんだから、むしろ見てほしいくらいだろ？　想像するだけでもドキドキしてくるんじゃないか。$	$1는 변태니까, 오히려 봐주는 걸 좋아하잖아? 상상만으로도 두근거리는 거 아닌가.
$^あぁ、いいよ。俺がどうにかするからさ、(.+?)のおしっこはこのままでいいよ。$	아아, 좋아. 내가 어떻게든 할테니까, $1의 오줌은 이대로도 좋아.
$^どこか蕩けたように、(.+?)は俺を見つめてそう言ったのだった。$	어딘가 녹은 것처럼, $1는 나를 응시해 그렇게 말한 것이었다.
$^移動の途中、(.+?)は甘い声でそう言った。$	이동하던 중, $1는 달콤한 목소리로 그렇게 말했다.
$^(.+?)、どうしても我慢できないの？$	$1, 도저히 못 참겠어?
$^あぁ、もちろんだよ、(.+?)。言える？$	아아, 물론이야, $1. 할 수 있겠어?
$^俺がそう言うと、(.+?)は俺に顔を寄せた。$	내가 그렇게 말하자, $1는 나에게 얼굴을 갖다댔다.
$^んん、積極的だね、(.+?)……$	적극적이네, $1……
$^どうだろう？　(.+?)がもっとキスしてくれたら、答えてあげようかな……$	어떨까? $1가 좀 더 키스해 주면 대답해 줄지도……
