いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
んじゅっ！　んんっ、ごひゅじんひゃまの、ふるえへる、んぷっ、ぢゅ、じゅるるぅっ、もうらひてくれるの？　ん、んぢゅぅうっ！	! 주이님 떠리고 이써…… 이제 나오려느 거야? ……!
ああ、もう……すぐにでも出そうだよ。	아아, 이제…… 당장이라도 쌀 것 같아.
んぅうっ、はやく、はやくいっへぇっ、んじゅっ！　あらひにぜんぶらひてぇっ！　んじゅっ、ぢゅ、ぢゅ、んんっ、ぢゅぅぅっ、んんんんっ！	……빠리, 빠리 싸줘! 나, 나하테 전부 싸줘! ……
熱心な奉仕に、俺はすぐに限界を迎える。	최선을 다하는 봉사에 나는 곧바로 한계를 맞는다.
ん、んぅううう～～っ……！　んんっ！　んぷっ、んっ、くぅ……ぢゅるぅ……	으, 으우우우웃……! ……
んぷっ……くちゅ……にがひ……んっ、くちゅ…………れも、らいひゅき……	…… …… ……………… 그래도 너므 조아……
んっ、んくっ……ん、ごく、んっ……はぁ、はぁ……ご主人様ぁ……いっぱい、だしすぎ……んっ……はぁ……	………… 하아, 하아…… 주인님…… 너무 쌌어…… …… 하아……
はは……溜まってたのかな？	하하…… 쌓여 있었던 걸까?
そんなだからぁ……あたし以外のこと、見ちゃうのよ……そんなの、だめなんだからぁ……	그러니까…… 나말고 다른 여자를 보는 거야…… 그런 건 안된다니까……
今日は、まだまだ……ご主人様のせいえき……全部あたしが絞りとって……浮気できないように、しなくちゃ……	오늘은 아직…… 주인님의 정액…… 전부 내가 짜내서…… 바람피지 못하게 하지 않으면……
……ねぇ、その……ちゅーしてよ、ご主人様……	…… 저기, 그……키스해요, 주인님……
ちゅっ……ちゅっ……んぅっ……もっと……してよ……はぁ、はううっ……ちゅっ……	…… …… …… 좀 더…… 해…… 하아…… ……
はぁ……ちゅっ……れりゅっ……こんな事するの……ちゅっ……ご主人様だけ……だしぃ……ちゅっ……れりゅうっ……	하아……………… 이런 걸 하는 건…… …… 주인님 뿐…… …… …………
俺はちょっと意地悪するように、優しいキスを続けた。	나는 약간 장난스럽게 다정한 키스를 계속했다.
ちゅぷっ……んぅっんっ……好き、好き……アタシ……ちゅっ、れりゅっ……こうしてる時がぁ……一番、いいのぉ……ちゅぷっ……	…… …… 좋아해, 좋아해…… 나……  …… 이렇게 하고 있을 때가…… 제일 좋아…………
でも、ずっとキスしてたら……それ以上の事は……	그치만 계속 키스 하고 있으면…… 다른 일을……
……そうね、はぁ、はぁ……ずっとこうしていたいけど……こんなので、足りるはずないしっ……	…… 그러네, 하아, 하아…… 쭉 이러고 있고 싶지만…… 이런 걸로 충분할 리 없고……
……キスだけじゃ我慢できなくなった？	…… 키스만으로는 참을 수 없게 되었어?
……んぅっ……キスもね、すっごく好きだけどぉ……んっ……それ以上に……はぁ、はぁ……もっと、刺激が欲しくって……	…… …… 키스도 말야, 엄청 좋아하지만…… …… 그 이상으로…… 하아, 하아…… 좀 더 자극을 원해……
ご主人様……お、お願い……その……もっと、もっとエッチな事……アタシに、してよ……	주인님…… 부, 부탁해…… 그…… 좀 더, 좀 더 야한 걸…… 나한테 해줘……
……どうしてほしいの？	…… 어떤 걸 원하는 거야?
……せっくす、よ……はぁ、はぁ……その、せっくすしたいの、ご主人様に……いっぱい、突かれたいの……	…… 섹스 …… 하아, 하아…… 그, 섹스 하고 싶은 거야. 주인님에게…… 잔뜩 쑤셔지고 싶은 거야……
……アタシ、ご主人様と……ずっと触れ合っていたいの、唇でも、アソコでも……はぁ、はううんっ……	…… 나, 주인님이랑…… 쭉 붙어있고 싶어. 입술에서도, 그곳에서도…… 하아……
だから……その……いれてよぉ、んっ……身体の奥までご主人様のモノにしてほしいの……はぁ、はううっ……お願いよ……	그러니까…… 그…… 넣어줘…… 몸 안쪽까지 주인님의 것이 되고 싶어…… 하아…… 부탁이야……
……ああ。	…… 아아.
あああっ……！　はぁ、はひっ、ご主人様、ご主人様ぁ、う、嬉しい、いれてくれたぁ、はぁ、はうううっ……！	아아앗……! 하아, 주인님, 주인님, 기, 기뻐, 넣어 주었어, 하아……!
んぅ、ん、くっ……！　ご、ご主人様ぁ、アタシ、はぁ、はううっ……！　アタシ、ご主人様のモノになってるのぉ、はぁ、はひっ！　くぅううんっ！	…… 주, 주인님, 나, 하아……! 나 주인님의 것이 된 거야, 하아……!
声が大きいよ……誰か、きちゃうかもね？	목소리가 커…… 누군가 올지도 몰라?
はぁ、はううっ、んぅっ！　ど、どうでもいいのぉ、んっ！　はひっ、はううっ……！　ご主人様とできるなら、ああ、はぁああんっ……！	하아……! 아, 아무래도 좋아……! 주인님이 들어와준다면, 아아……!
んぅっ、ん、くぅうっ……！　アタシ、ご、ご主人様しか、はぁ、はぁ、興味、無いからぁ、はぁ、はううっ！	…… 나, 주, 주인님 밖에, 하아, 하아, 관심 없으니까, 하아……!
夢中になっちゃって。	푹 빠져버렸네.
……けど、これだけ淫らだと、他のお客様に気付かれてしまう可能性が高くなってしまう。	…… 하지만 이만큼 음란하다면 다른 손님들이 알아볼 가능성이 높아진다.
早く、終わらせよっか。	빨리 끝낼까.
あううっ、アタシ、酔ってぇ、はぁ、はぁああっ！　もうわけ、わかんなく、なっちゃってるからぁ！	아우웃, 나, 기분좋아, 하아, 하아아앗! 이제 뭐가 뭔지 모르겠어!
はぁ、はぁ、もっとついて、突いてよぉ、はぁ、はううっ！　アタシのこと、しあわせにしてぇ、はぁ、はぁ、いっぱいついて、一番、奥ぅっ！	하아, 하아, 좀 더 들어와, 쑤셔줘, 하아, 하우웃! 나를 행복하게 해줘, 하아, 하아, 잔뜩 들어와줘, 제일 안쪽에!
このままぁ、して、出して、出してぇ、はぁああっ！　膣内がいいのぉ、はぁ、膣内じゃないと、い、いやなのぉっ！　んんん～～っ！	이대로 해, 싸, 싸줘, 하아아앗! 질내가 좋아, 하아, 질내가 아니면 시, 싫어!
激しい抽送に、俺もすぐに限界を迎える。	격렬한 반응에 나도 곧바로 한계를 맞이한다.
あうっ、イっちゃうぅっ！　ひぐっ、んぅっ！　イっちゃううっ、も、もっとしたいのにっ、でも、でも、最後まで、してほしいし、あうううっ！	가 버려, 가 버려! 조, 좀 더 하고 싶은데, 그치만, 그치만, 끝까지 해 줬으면 좋겠어……!
あう、ご主人様、ご主人様ぁ、はぁ、はぁ、アタシにもっと、はぁあ、ぱんぱんってしてぇ、はぁ、はぁ、んぅ～～～っ！	주인님, 주인님, 하아, 하아, 나에게 좀 더, 하아아, 푹푹 해, 하아, 하아……!
んっ……あひっ、ひゃぁあああああ～～～～～っ！！	…… 햐아아아아아앗!!
ああああ……はぁああ……はひっ……ひぃいっ……よかったぁ……はぁ……はううっ……すっごく、良かったのぉ……くぅうううんっ……	아아아아…… 하아아아…… …… …… 좋았어…… 하아………… 엄청 좋았어…………
…………あううっ……したことは、したけど……はぁ、はううっ……まだ、足りないかもぉ……ふふっ……	………… …… 하긴 했지만…… 하아…… 아직 부족할지도…… 후훗……
……ふふっ……まだ……今日はいっぱいできるのよね……こんなに幸せで……アタシ、いいのかな……？	…… 후훗…… 아직…… 오늘은 잔뜩 하는 거네요…… 이렇게 행복하다니…… 나 괜찮을까……?
ん……あぅぅ……ご主人様ぁ、あたし、頭ふわふわして……からだもあつくなってるの……	…… …… 주인님, 나 머리가 어질어질해…… 몸도 뜨거워지고 있어……
あたしのからだ、さわって……？　ちょっとだけでいいからぁ……	내 몸, 만져줄래……? 조금만이라도 좋으니까……
あと少しだから、部屋まで頑張って。	거의 다왔으니까 방에 갈때까지 참아.
やぁ、やぁん……ご主人様のいじわる……もう、我慢できないのに……	시, 싫어…… 주인님 짓궂어…… 이제 못 참겠는데……
じゃあ……見ててあげるから、自分で慰めればいいんじゃない？	그럼…… 보고 있을테니 자위하면 되잖아?
んく……いいの？……こんなところで、自分でしちゃっても、いいの……？	…… 괜찮아? …… 이런데서 해버려도 괜찮아……?
したくなっちゃったなら、しょうがないんじゃない？	하고 싶어졌으면 어쩔 수 없잖아?
うん……そうよね……我慢できなくなっちゃったんだからぁ……しょうがないよね……	응…… 그러네…… 참을 수 없게 됐으니까…… 어쩔 수 없네……
あ、んっ……ほら、見てぇ……あたしのここ、もうこんなに、濡れちゃってる……んは、あぅっ……	아…… 저기, 봐…… 내 여기 벌써 이렇게 젖어 버렸어…… ……
……いつから濡れてたの？	…… 언제부터 젖어있었던 거야?
はぁ、んぅ……ずっと、ずっと前から……お酒飲みはじめて、すぐ……んっ、んぁ……あたし、濡れちゃってたのぉ……	하아…… 쭉, 훨씬 전부터…… 술 마시고 바로………… 나 젖어 있었어……
さっきからずっと……んっ、ふぁっ……あ、歩くのも、つらかったんだからぁ……ん、ぅぅっ……	아까부터 계속…… …… 거, 걷는 것도 힘들었으니까…………
んくぅん……だって、だってぇ……ご主人様がしていいって言うからぁ……あ、あたしは悪くないんだからぁ……	…… 그치만, 그치만…… 주인님이 해도 된다고 말했으니까…… 나, 나는 나쁘지 않으니까……
だ、だからぁ……んっ、くぅ……ゆ、指がきもちいいからぁ……もっと、激しくしても、いいよね……？　んっ、ああっ……	그, 그러니까…… …… 소, 손가락이 기분 좋으니까…… 좀 더 격렬하게 해도 되지……? ……
はぅ、んっ、ああっ……ご、ご主人様ぁ……きもちいいのぉ……あくっ、アソコ、自分で弄って、きもちよくなっちゃうのぉ……！	…… 주, 주인님…… 기분 좋아……  거기 스스로 비틀어서 기분 좋아져 버려……!
早くしないと、誰か来ちゃうよ？	빨리 하지 않으면 누군가 온다구?
ひぁっ、あっ、待ってっ……！　こ、こんなところ、見られたら……ぜったい、変態だって思われちゃうっ、んっ、あぁぁっ……！	……안돼……! 이, 이런 걸 보여지면…… 무조건 변태라고 생각할 거야……!
あ、あたし、すぐ、イクからぁっ……あっ、んんっ……！　イっていいよね？　んっ、ふぁ、んぅっ、最後まで、しちゃってもいいよねっ……？	나, 나, 이제 갈것 같으니까…… ……! 가도 되지? 끝까지 해 버려도 되지……?
いいよ。見ててあげる。	좋아. 보고 있어 줄게.
あはっ……んぅ、んひぃぃっ！　ここぉ、クリトリスがいいのぉ！　あたし、ここ弄ったら、すぐにイッちゃうからぁっ！	…… 여기 클리토리스가 좋아! 나, 여기 만지작거리면 금방 가버리니까!
んぁ、ああっ！　だめぇ、こんなところで、もうっ……だめぇ！　んくっ、あっ、んは、ぁああっ！	아앗! 안돼, 이런 곳에서, 정말 …… 안돼! 앗, 아아앗!
ご主人様ぁ！　あたしが、オナニーで、はしたなくイクところ見ててぇっ！　んぅううっ、んひ、イクっ、イっちゃうぅ……んっ、あああぁっ！	주인님! 내가 자위로 부끄럽게 가버리는 걸 봐줘! ……가, 가버려…… 아아아앗!
あ、あ、あっ……！　んっ、あぁああああぁぁぁっ……！！	아, 아, 앗……! 아아아아아아앗……!!
あくっ……んひ、ひぁんっ……！　はぁっ、はぁっ……んんっ、はぁ…………お酒と、オナニー……くせになっちゃう……	…… 하아………… 술이랑 자위…… 버릇이 돼버려……
や、ぁん……ちょっとだけ、休ませて……まだ、腰が震えてるんだからぁ……	싫어…… 조금 쉬게 해줘…… 아직 허리가 떨리고 있으니까……
だめだよ。この後で夜伽もしてもらうんだからさ。	안돼. 나중에 밤시중도 받을 거니까 말야.
ご、ご主人様ったらぁ……ほんとに、いじわるなんだからぁ……んくっ……やぁ……お汁、たれてきちゃったぁ……	주, 주인님도 참…… 정말 심술궂다니까…… …… 싫어…… 애액이 축 늘어져 버렸어……
ご主人様ぁ……先に行ってて？　アタシちょっと、お手洗いに行ってくるから……	주인님…… 먼저 가있을래? 나 잠깐 화장실 좀 다녀올테니까……
おしっこ、したいの？	오줌누고 싶은 거야?
え、えぇ……そう、だけど……？……な、なんでそんなこと聞くの……？	으, 응…… 그런데……? …… 왜, 왜 그런 걸 묻는 거야……?
いや……ここですればいいんじゃない？	아니…… 여기서 하면 되는 거 아냐?
やぁ……だめ、だめよそんなの……は、はしたないじゃない……	싫어…… 안돼. 안 돼, 그런 거…… 부, 부끄럽잖아……
汚しちゃうし……だれかにみられたら、変態みたいじゃない……	더럽고…… 누군가에게 보여지면 변태가 되잖아……
あ、んぅ……あ、アタシは、ご主人様以外には、そんな風に思われたくないもん……見ていいのは、ご主人様だけなんだからぁ……	…… 나, 나는, 주인님 외에는 그런 식으로 생각되고 싶지 않은 걸…… 봐도 되는 건 주인님뿐이니까……
まんざらでもなさそうな反応に、俺はさらに促していく。	그리 싫지만도 않은 것 같은 반응에 나는 한층 더 재촉해 간다.
じゃあほら、俺に見せてよ。	그럼 자, 나한테 보여줘.
あ、んぅっ……そこまで言うなら……ちょっとだけ……	아…… 그렇게 말한다면…… 조금만이야……
やだ、ぁん……なんか、スースーして……ドキドキしちゃう……アタシ、こんなところで、おしっこしようとしてる……	싫어…… 뭔가 으스스해…… 두근거려…… 나 이런데서 오줌누려고 하고 있어……
ご、ご主人様ぁ……そんなに見られたらぁ……あ、アタシ恥ずかしくて、おしっこ出ないの……	주, 주인님…… 그렇게 보고 있으면…… 나, 나 부끄러워서 오줌이 나오지 않아……
それじゃあ意味ないから……ちゃんと全部見せてね？	그럼 의미 없거든…… 제대로 전부 보여줄래?
そ、そんなぁ……ご主人様のえっち、いじわるっ……	그, 그런…… 주인님은 야해, 나빠……
ほら、早くしないと、エッチな汁まで垂れちゃってるよ？	자, 빨리 안하면 야한 즙까지 떨어져 버릴 거야?
はぅ、んくぅ……だって、ご主人様が見てるからぁ……ご主人様に見られたら、アタシ、濡れちゃうんだからぁ……は、ぁんっ……	…… 그치만 주인님이 보고 있으니까…… 주인님에게 보여지면 나 젖어 버리니까…………
……あ、あ、だめ……お、おしっこ、出そう……や、やぁ……あ、アタシ、やだ、あぁっ……！	…… 아, 아, 안돼…… 오, 오줌, 나올 것 같아…… 시, 싫어…… 나, 나, 싫어, 아아아아앗……!
あっ……！　や、あ、出てる、んっ、んんんんん～～～っ……！！	앗……! 싫어, 아, 나오고 있어……!!
んぁぁ、は、ぁぁ……ん…………あ、アタシ、こんなところで、おしっこしちゃったぁっ……ん、ふぁぁっ……	………… 나, 나 이런데서 오줌 눠 버렸어…… ……
生々しい、ツンとした香りが鼻につく。	생생하네. 찡한 냄새가 코를 찌르네.
ずいぶん、いっぱい出たね？	꽤나 잔뜩 나왔네?
やぁん……お酒、いっぱい飲んだからぁ……はぁ……はぁ……ねぇ、ご主人様……アタシ、可愛かったぁ……？	싫엉…… 술을 많이 마셔서…… 하아…… 하아…… 저기, 주인님…… 나 귀여웠어……?
ああ……すっごく興奮したよ。	아아…… 엄청 흥분했어.
んふっ……よかった……アタシもね？　ご主人様に見られてするの、よかったかもっ……ふふっ……	…… 다행이다…… 나도 말야? 주인님에게 보여지는 거 좋았을지도…… 후훗……
この後の夜伽に向けて、俺の期待も高まっていった。	이 뒤의 밤시중을 하러 가면서, 나의 기대도 높아지고 있었다.
ご主人様、あのね……お、お願いがあるんだけど……	주인님, 저기…… 부, 부탁이 있는데……
我慢できなくなっちゃった？	참을 수 없게 되어 버렸어?
ここで、キスしてほしいの……ちょっとだけでいいから……	여기서 키스해줬으면 좋겠어…… 조금이라도 좋으니까……
うん、わかったよ。	응, 알았어.
ちゅっ……んっ……ご主人様ぁ……ちゅっ、ふふっ……大好き……んっ……ちゅ、ちゅっ……	…… … 주인님………… 너무 좋아……………
あとちょっとで部屋なんだけどなぁ……	조금만 더 가면 방인데……
いいでしょ……？　んちゅっ、ちゅ……アタシは今、したかったんだから……ちゅっ……んぅ……ちゅぅ……	괜찮잖아……? …… 난 지금 하고 싶으니까…… ………… ……
ご主人様ぁ……ちゅっ……れろっ……ん、ちゅっ……ご主人様とのキス、ちゅっ、好きなの……んっ……ちゅっ、ちゅっ……	주인님…… …… …… …… 주인님과의 키스, 좋아해…… …………
ねぇ……だからもっと……エッチなキス、して？	저기…… 그러니까 좀 더…… 야한 키스, 해줘?
あぁ、んちゅるっ……んちゅる、じゅるるっ、れるぅっ……ご主人様ぁ……んんっ……これぇ……エッチなキス、好きぃ……	아아………… 주인님…… …… 이거…… 야한 키스, 좋아……
ご主人様の、くちびるも、舌も……んちゅ、じゅるぅ、んちゅぅ……ずっと味わっていたいのっ……んっ、ちゅ、ちゅ……	주인님의 입술도 혀도…… …… 계속 맛보고 싶어…………
